관리기관명,소재지지번주소,소재지도로명주소,카메라대수,카메라화소,촬영방면정보,보관일수,설치연도,위도,경도,데이터기준일자
광주광역시 사회재난과,광산구 신창동 999,광산구 왕버들로322번길 26,1,200만,360도,30일,2022,35.193009,126.843101,2023-06-30
광주광역시 사회재난과,광산구 신촌동 1075-14,,1,200만,360도,30일,2013,35.1455,126.800499,2023-06-30
광주광역시 사회재난과,광산구 신촌동 1075-14,,1,200만,360도,30일,2018,35.1455,126.800499,2023-06-30
광주광역시 사회재난과,광산구 신촌동 1075-14,,1,200만,360도,30일,2022,35.1455,126.800499,2023-06-30
광주광역시 사회재난과,광산구 신촌동 695-43,,1,200만,360도,30일,2015,35.14162145,126.809629,2023-06-30
광주광역시 사회재난과,광산구 신촌동 993-5,광산구 사암로27번길 25,1,200만,360도,30일,2013,35.145958,126.806636,2023-06-30
광주광역시 사회재난과,광산구 신촌동 993-5,광산구 사암로27번길 25,2,200만,360도,30일,2020,35.145958,126.806636,2023-06-30
광주광역시 사회재난과,광산구 쌍암동 657-4,광산구 첨단중앙로152번길 6-8,2,200만,360도,30일,2020,35.21813569,126.842257,2023-06-30
광주광역시 사회재난과,광산구 쌍암동 657-4,광산구 첨단중앙로152번길 6-8,2,200만,360도,30일,2019,35.21813569,126.842257,2023-06-30
광주광역시 사회재난과,광산구 쌍암동 658-2,광산구 첨단중앙로152번길 16,1,200만,360도,30일,2013,35.218916,126.843203,2023-06-30
광주광역시 사회재난과,광산구 쌍암동 658-2,광산구 첨단중앙로152번길 16,1,200만,360도,30일,2018,35.218916,126.843203,2023-06-30
광주광역시 사회재난과,광산구 쌍암동 658-2,광산구 첨단중앙로152번길 16,1,200만,360도,30일,2022,35.218916,126.843203,2023-06-30
광주광역시 사회재난과,광산구 쌍암동 660-2,광산구 첨단중앙로152번길 31-7,1,200만,360도,30일,2013,35.21964772,126.843779,2023-06-30
광주광역시 사회재난과,광산구 쌍암동 660-2,광산구 첨단중앙로152번길 31-7,1,200만,360도,30일,2018,35.21964772,126.843779,2023-06-30
광주광역시 사회재난과,광산구 쌍암동 660-2,광산구 첨단중앙로152번길 31-7,1,200만,360도,30일,2022,35.21964772,126.843779,2023-06-30
